Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2024,Jaden Crumedy,Mississippi State,DT,76.25,301,10.50,33.00,,4.97,,29.5,105,4.66,,
2024,Devin Culp,Washington,TE,75.25,231,9.25,32.88,,4.47,,,,,,
2024,Jayden Daniels,Louisiana State,QB,75.25,210,,,,,,,,,,
2024,Anim Dankwah,Howard (DC),OT,79.75,353,9.75,35.13,,,,27.5,,,,
2024,Isaiah Davis,South Dakota State,RB,71.75,218,10.25,31.13,,4.57,23,34.5,119,,,
2024,Ray Davis,Kentucky,RB,68.38,211,8.88,30.25,,4.52,,35.0,119,,,
2024,Tyler Davis,Clemson,DT,73.75,301,9.25,31.38,,5.02,29,28.5,108,5.00,,
2024,Cooper DeJean,Iowa,CB,72.63,203,9.63,31.13,,,,,,,,
2024,Kalen DeLoach,Florida State,OLB,71.63,210,8.63,31.50,,4.47,,30.5,119,,,
2024,M.J. Devonshire,Pittsburgh,CB,71.13,186,8.75,32.88,,4.45,,38.5,124,4.35,7.12,
2024,Marcellas Dial,South Carolina,CB,71.75,190,8.88,32.00,,4.46,,40.5,129,,,
2024,Johnny Dixon,Penn State,CB,71.00,188,8.63,29.50,,,,,,,,
2024,Brandon Dorlus,Oregon,DT,75.13,283,9.38,33.25,,4.85,,30.5,111,4.85,7.43,
2024,Willie Drew,Virginia State,CB,71.63,191,9.50,32.00,,4.46,13,,,,,
2024,Ethan Driskell,Marshall (WV),OT,80.25,313,10.50,35.38,,,,,,,,
2024,Khalid Duke,Kansas State,DE,74.88,246,9.25,32.63,,,21,34.0,117,,,
2024,Justin Eboigbe,Alabama,DT,76.38,297,9.75,33.38,,5.18,,28.0,,,,
2024,Daijun Edwards,Georgia,RB,69.75,207,9.50,29.75,,,,,114,,,
2024,Kingsley Eguakun,Florida,C,75.63,304,10.13,32.50,,,,,,,,
2024,Tommy Eichenberg,Ohio State,ILB,74.13,233,9.25,31.63,,,,32.5,116,4.24,,
2024,Jonah Elliss,Utah,DE,73.88,248,10.50,33.00,,,,,,,,
2024,Audric Estime,Notre Dame,RB,71.25,221,10.25,32.38,,4.71,23,38.0,125,,,
2024,Josiah Ezirim,Eastern Kentucky,OT,77.75,329,10.75,35.75,,,,,,,,
2024,Olumuyiwa Fashanu,Penn State,OT,78.13,312,8.50,34.00,,5.11,,32.0,109,,,
2024,Troy Fautanu,Washington,OG,76.00,317,9.50,34.50,,5.01,,32.5,113,,,
2024,Blake Fisher,Notre Dame,OT,77.63,310,10.00,34.38,,5.20,,28.0,,4.73,7.76,
2024,Braden Fiske,Florida State,DT,75.63,292,9.38,31.00,,4.78,26,33.5,117,4.37,,
2024,Jeremy Flax,Kentucky,OT,77.63,343,9.00,33.13,,5.64,,28.0,100,,,
2024,Ryan Flournoy,Southeast Missouri State,WR,73.13,202,10.13,31.63,,4.44,19,39.5,132,,,
2024,Jaylan Ford,Texas,ILB,74.25,240,9.50,31.75,,,,33.5,121,,,
2024,Javon Foster,Missouri,OT,77.63,313,9.63,34.63,,5.30,,32.5,106,,,
2024,Troy Franklin,Oregon,WR,74.25,176,8.75,31.88,,4.41,,39.0,124,4.31,6.90,
2024,Zach Frazier,West Virginia,C,74.63,313,10.88,32.25,,,,,,,,
2024,Taliese Fuaga,Oregon State,OT,77.88,324,10.13,33.13,,5.13,,32.0,111,,,
2024,XZauvea Gadlin,Liberty (VA),OG,74.88,322,10.25,33.25,,5.50,,24.0,96,4.97,8.26,
